Movie,Year,Pass/Fail,Ranking,Categorisation
The Personal History of David Copperfield,2019,Pass,1,There are two or more women in this movie and they talk to each other about something other than a man
The Petrified Forest,1936,Pass,1,There are two or more women in this movie and they talk to each other about something other than a man
The Phantom,1922,Fail,3,"There are two or more women in this movie, but they only talk to each other about a man"
The Phantom,1996,Pass,2,"There are two or more women in this movie and they talk to each other about something other than a man, although dubious"
The Phantom Planet,1961,Fail,5,Fewer than two women in this movie
The Phantom Tollbooth,1970,Fail,4,"There are two or more women in this movie, but they don't talk to each other"
The Phantom of the Opera,1925,Fail,3,"There are two or more women in this movie, but they only talk to each other about a man"
The Phantom of the Opera,2004,Fail,3,"There are two or more women in this movie, but they only talk to each other about a man"
The Philadelphia Experiment,1984,Fail,4,"There are two or more women in this movie, but they don't talk to each other"
The Philadelphia Story,1940,Pass,2,"There are two or more women in this movie and they talk to each other about something other than a man, although dubious"
The Phoenix Project,2015,Fail,5,Fewer than two women in this movie
The Physician,2013,Fail,4,"There are two or more women in this movie, but they don't talk to each other"
The Pianist,2002,Fail,4,"There are two or more women in this movie, but they don't talk to each other"
The Piano,1993,Pass,2,"There are two or more women in this movie and they talk to each other about something other than a man, although dubious"
The Piano Teacher,2001,Pass,1,There are two or more women in this movie and they talk to each other about something other than a man
The Pink Panther,1963,Fail,4,"There are two or more women in this movie, but they don't talk to each other"
The Pink Panther,2006,Fail,4,"There are two or more women in this movie, but they don't talk to each other"
The Pirate Fairy,2014,Pass,1,There are two or more women in this movie and they talk to each other about something other than a man
The Pirates! Band of Misfits,2012,Fail,4,"There are two or more women in this movie, but they don't talk to each other"
The Place Beyond the Pines,2012,Fail,4,"There are two or more women in this movie, but they don't talk to each other"
The Place Promised in Our Early Days,2004,Fail,4,"There are two or more women in this movie, but they don't talk to each other"
The Place in Between,2010,Pass,1,There are two or more women in this movie and they talk to each other about something other than a man
The Plague of the Zombies,1966,Pass,2,"There are two or more women in this movie and they talk to each other about something other than a man, although dubious"
The Platform,2019,Fail,4,"There are two or more women in this movie, but they don't talk to each other"
The Player,1992,Pass,1,There are two or more women in this movie and they talk to each other about something other than a man
The Pleasure Drivers,2005,Pass,1,There are two or more women in this movie and they talk to each other about something other than a man
The Pleasure Girls,1965,Pass,1,There are two or more women in this movie and they talk to each other about something other than a man
The Polar Express,2004,Fail,4,"There are two or more women in this movie, but they don't talk to each other"
The Poor Little Rich Girl,1917,Pass,1,There are two or more women in this movie and they talk to each other about something other than a man
The Poseidon Adventure,1972,Fail,4,"There are two or more women in this movie, but they don't talk to each other"
The Possession,2012,Pass,1,There are two or more women in this movie and they talk to each other about something other than a man
The Post,2017,Pass,2,"There are two or more women in this movie and they talk to each other about something other than a man, although dubious"
The Postman,1997,Fail,4,"There are two or more women in this movie, but they don't talk to each other"
The Postman Always Rings Twice,1946,Fail,4,"There are two or more women in this movie, but they don't talk to each other"
The Power of the Dog,2021,Fail,5,Fewer than two women in this movie
The Power of the Press,1928,Fail,4,"There are two or more women in this movie, but they don't talk to each other"
The Powerpuff Girls,2002,Pass,1,There are two or more women in this movie and they talk to each other about something other than a man
The Preacher's Wife,1996,Pass,1,There are two or more women in this movie and they talk to each other about something other than a man
The Predator,2018,Fail,4,"There are two or more women in this movie, but they don't talk to each other"
The Prestige,2006,Fail,4,"There are two or more women in this movie, but they don't talk to each other"
The Pretty One,2013,Pass,1,There are two or more women in this movie and they talk to each other about something other than a man
The Prime of Miss Jean Brodie,1969,Pass,1,There are two or more women in this movie and they talk to each other about something other than a man
The Prince & Me II: The Royal Wedding,2006,Pass,1,There are two or more women in this movie and they talk to each other about something other than a man
The Prince and Me,2004,Fail,4,"There are two or more women in this movie, but they don't talk to each other"
The Prince and the Showgirl,1957,Pass,1,There are two or more women in this movie and they talk to each other about something other than a man
The Prince of Egypt,1998,Pass,1,There are two or more women in this movie and they talk to each other about something other than a man
The Princess Bride,1987,Fail,3,"There are two or more women in this movie, but they only talk to each other about a man"
The Princess Diaries,2001,Pass,1,There are two or more women in this movie and they talk to each other about something other than a man
The Princess Diaries 2: Royal Engagement,2004,Pass,1,There are two or more women in this movie and they talk to each other about something other than a man
The Princess Switch,2018,Pass,1,There are two or more women in this movie and they talk to each other about something other than a man
The Princess Twins of Legendale,2013,Pass,1,There are two or more women in this movie and they talk to each other about something other than a man
The Princess and the Cobbler,1993,Fail,5,Fewer than two women in this movie
The Princess and the Frog,2009,Pass,1,There are two or more women in this movie and they talk to each other about something other than a man
The Princess and the Goblin,1991,Pass,1,There are two or more women in this movie and they talk to each other about something other than a man
The Princess and the Pony,2011,Pass,1,There are two or more women in this movie and they talk to each other about something other than a man
The Prisoner,1955,Fail,5,Fewer than two women in this movie
The Prisoner of Zenda,1937,Fail,4,"There are two or more women in this movie, but they don't talk to each other"
The Private Life of Henry VIII.,1933,Fail,4,"There are two or more women in this movie, but they don't talk to each other"
The Private Lives of Pippa Lee,2009,Pass,1,There are two or more women in this movie and they talk to each other about something other than a man
"The Prize Winner of Defiance, Ohio",2005,Pass,1,There are two or more women in this movie and they talk to each other about something other than a man
The Prodigal,1955,Pass,1,There are two or more women in this movie and they talk to each other about something other than a man
The Producers,1968,Fail,5,Fewer than two women in this movie
The Producers,2005,Fail,5,Fewer than two women in this movie
The Professional,1994,Pass,1,There are two or more women in this movie and they talk to each other about something other than a man
The Prom,2020,Pass,1,There are two or more women in this movie and they talk to each other about something other than a man
The Proposal,2009,Fail,3,"There are two or more women in this movie, but they only talk to each other about a man"
The Proposition,1998,Fail,3,"There are two or more women in this movie, but they only talk to each other about a man"
The Proposition,2005,Fail,4,"There are two or more women in this movie, but they don't talk to each other"
The Proud and Profane,1956,Pass,1,There are two or more women in this movie and they talk to each other about something other than a man
The Prowler,1981,Pass,1,There are two or more women in this movie and they talk to each other about something other than a man
The Public,2018,Pass,2,"There are two or more women in this movie and they talk to each other about something other than a man, although dubious"
The Public Enemy,1931,Pass,2,"There are two or more women in this movie and they talk to each other about something other than a man, although dubious"
The Punisher,1989,Fail,4,"There are two or more women in this movie, but they don't talk to each other"
The Punisher,2004,Fail,4,"There are two or more women in this movie, but they don't talk to each other"
The Punisher,2017,Pass,2,"There are two or more women in this movie and they talk to each other about something other than a man, although dubious"
The Punk Singer,2013,Pass,1,There are two or more women in this movie and they talk to each other about something other than a man
The Purge,2013,Pass,2,"There are two or more women in this movie and they talk to each other about something other than a man, although dubious"
The Purge: Anarchy,2014,Pass,1,There are two or more women in this movie and they talk to each other about something other than a man
The Purge: Election Year,2016,Pass,1,There are two or more women in this movie and they talk to each other about something other than a man
The Pursuit of Happyness,2006,Fail,5,Fewer than two women in this movie
The Queen,2006,Pass,2,"There are two or more women in this movie and they talk to each other about something other than a man, although dubious"
The Quest,1996,Fail,5,Fewer than two women in this movie
The Quick and the Dead,1995,Pass,1,There are two or more women in this movie and they talk to each other about something other than a man
The Quiet,2005,Pass,1,There are two or more women in this movie and they talk to each other about something other than a man
The Quiet American,2002,Fail,3,"There are two or more women in this movie, but they only talk to each other about a man"
The Quiet Earth,1985,Fail,5,Fewer than two women in this movie
The Quiet Hour,2014,Pass,2,"There are two or more women in this movie and they talk to each other about something other than a man, although dubious"
The Quiet Man,1952,Fail,4,"There are two or more women in this movie, but they don't talk to each other"
The Quiet Roar,2014,Pass,1,There are two or more women in this movie and they talk to each other about something other than a man
The Racket,1928,Fail,5,Fewer than two women in this movie
The Raid: Redemption,2011,Fail,5,Fewer than two women in this movie
The Railrodder,1965,Fail,5,Fewer than two women in this movie
The Railway Children,1970,Pass,1,There are two or more women in this movie and they talk to each other about something other than a man
The Railway Man,2013,Fail,5,Fewer than two women in this movie
The Rape of the Vampire,1968,Pass,1,There are two or more women in this movie and they talk to each other about something other than a man
The Rats,2002,Pass,1,There are two or more women in this movie and they talk to each other about something other than a man
The Raven,1963,Fail,4,"There are two or more women in this movie, but they don't talk to each other"
The Raven,2012,Fail,4,"There are two or more women in this movie, but they don't talk to each other"
The Reader,2008,Fail,4,"There are two or more women in this movie, but they don't talk to each other"
The Reaping,2007,Pass,1,There are two or more women in this movie and they talk to each other about something other than a man
The Reason I Shop Online,2015,Pass,1,There are two or more women in this movie and they talk to each other about something other than a man
The Recruit,2003,Fail,4,"There are two or more women in this movie, but they don't talk to each other"
The Red Dragon,1945,Fail,4,"There are two or more women in this movie, but they don't talk to each other"
The Red Pill,2016,Pass,1,There are two or more women in this movie and they talk to each other about something other than a man
The Red Shoes,1948,Pass,1,There are two or more women in this movie and they talk to each other about something other than a man
The Red Tent,2014,Pass,1,There are two or more women in this movie and they talk to each other about something other than a man
The Red Turtle,2016,Fail,5,Fewer than two women in this movie
The Red Violin,1998,Pass,1,There are two or more women in this movie and they talk to each other about something other than a man
The Reef,2010,Fail,4,"There are two or more women in this movie, but they don't talk to each other"
The Reflecting Skin,1990,Fail,4,"There are two or more women in this movie, but they don't talk to each other"
The Reluctant Dragon,1941,Pass,1,There are two or more women in this movie and they talk to each other about something other than a man
The Remains of the Day,1993,Fail,4,"There are two or more women in this movie, but they don't talk to each other"
The Replacements,2000,Pass,1,There are two or more women in this movie and they talk to each other about something other than a man
The Report,2019,Fail,5,Fewer than two women in this movie
The Rescuers,1977,Pass,1,There are two or more women in this movie and they talk to each other about something other than a man
The Rescuers Down Under,1990,Fail,4,"There are two or more women in this movie, but they don't talk to each other"
The Retreat,2020,Fail,5,Fewer than two women in this movie
The Retreat,2021,Pass,1,There are two or more women in this movie and they talk to each other about something other than a man
The Return of Frank James,1940,Fail,5,Fewer than two women in this movie
The Return of Jafar,1994,Fail,5,Fewer than two women in this movie
The Return of Swamp Thing,1989,Pass,1,There are two or more women in this movie and they talk to each other about something other than a man
The Returned,2013,Pass,1,There are two or more women in this movie and they talk to each other about something other than a man
The Revenant,2015,Fail,5,Fewer than two women in this movie
The Rhythm Section,2020,Fail,3,"There are two or more women in this movie, but they only talk to each other about a man"
The Ridiculous 6,2015,Fail,3,"There are two or more women in this movie, but they only talk to each other about a man"
The Ring,2002,Pass,1,There are two or more women in this movie and they talk to each other about something other than a man
The Ring Two,2005,Pass,1,There are two or more women in this movie and they talk to each other about something other than a man
The Riot Club,2014,Fail,4,"There are two or more women in this movie, but they don't talk to each other"
The Rite,2011,Pass,2,"There are two or more women in this movie and they talk to each other about something other than a man, although dubious"
The Ritual,2017,Fail,5,Fewer than two women in this movie
The Riverside Murder,1935,Fail,3,"There are two or more women in this movie, but they only talk to each other about a man"
The Road,2009,Fail,4,"There are two or more women in this movie, but they don't talk to each other"
The Road to El Dorado,2000,Fail,5,Fewer than two women in this movie
The Road to Wellville,1994,Pass,1,There are two or more women in this movie and they talk to each other about something other than a man
The Rock,1996,Fail,4,"There are two or more women in this movie, but they don't talk to each other"
The Rocketeer,1991,Fail,4,"There are two or more women in this movie, but they don't talk to each other"
The Rocky Horror Picture Show,1975,Pass,2,"There are two or more women in this movie and they talk to each other about something other than a man, although dubious"
The Rocky Horror Picture Show: Let's Do the Time Warp Again,2016,Pass,2,"There are two or more women in this movie and they talk to each other about something other than a man, although dubious"
The Romantics,2010,Pass,1,There are two or more women in this movie and they talk to each other about something other than a man
The Room,2003,Pass,1,There are two or more women in this movie and they talk to each other about something other than a man
The Roommate,2011,Pass,1,There are two or more women in this movie and they talk to each other about something other than a man
The Rose,1979,Fail,4,"There are two or more women in this movie, but they don't talk to each other"
The Rover,2014,Fail,5,Fewer than two women in this movie
The Royal Tenenbaums,2001,Pass,1,There are two or more women in this movie and they talk to each other about something other than a man
The Rugrats Movie,1998,Pass,1,There are two or more women in this movie and they talk to each other about something other than a man
The Ruins,2008,Pass,1,There are two or more women in this movie and they talk to each other about something other than a man
The Rules of Attraction,2002,Pass,2,"There are two or more women in this movie and they talk to each other about something other than a man, although dubious"
The Rules of the Game,1939,Pass,1,There are two or more women in this movie and they talk to each other about something other than a man
The Rum Diary,2011,Fail,4,"There are two or more women in this movie, but they don't talk to each other"
The Runaways,2010,Pass,1,There are two or more women in this movie and they talk to each other about something other than a man
The Running Man,1987,Pass,2,"There are two or more women in this movie and they talk to each other about something other than a man, although dubious"
The Russia House,1990,Fail,5,Fewer than two women in this movie
The Salvation,2014,Fail,4,"There are two or more women in this movie, but they don't talk to each other"
The Sand Pebbles,1966,Fail,4,"There are two or more women in this movie, but they don't talk to each other"
The Sandlot,1993,Fail,5,Fewer than two women in this movie
The Santa Clause,1994,Fail,4,"There are two or more women in this movie, but they don't talk to each other"
The Santa Clause 2,2002,Fail,4,"There are two or more women in this movie, but they don't talk to each other"
The Sapphires,2012,Pass,1,There are two or more women in this movie and they talk to each other about something other than a man
The Satanic Rites of Dracula,1973,Fail,4,"There are two or more women in this movie, but they don't talk to each other"
The Savages,2007,Pass,1,There are two or more women in this movie and they talk to each other about something other than a man
The Scarlet Empress,1934,Pass,1,There are two or more women in this movie and they talk to each other about something other than a man
The Scarlet Pimpernel,1982,Fail,3,"There are two or more women in this movie, but they only talk to each other about a man"
The Scheming Gambler's Paradise,1905,Fail,5,Fewer than two women in this movie
The School of Rock,2003,Pass,2,"There are two or more women in this movie and they talk to each other about something other than a man, although dubious"
The Science of Sleep,2006,Pass,1,There are two or more women in this movie and they talk to each other about something other than a man
The Score,2001,Fail,5,Fewer than two women in this movie
The Scorpion King,2002,Fail,5,Fewer than two women in this movie
The Scouting Book for Boys,2009,Fail,3,"There are two or more women in this movie, but they only talk to each other about a man"
The Screaming Skull,1958,Fail,3,"There are two or more women in this movie, but they only talk to each other about a man"
The Scribbler,2014,Pass,1,There are two or more women in this movie and they talk to each other about something other than a man
The Sea Hawk,1940,Pass,1,There are two or more women in this movie and they talk to each other about something other than a man
The Sea Inside,2004,Pass,1,There are two or more women in this movie and they talk to each other about something other than a man
The Searchers,1956,Pass,1,There are two or more women in this movie and they talk to each other about something other than a man
The Seasoning House,2012,Pass,2,"There are two or more women in this movie and they talk to each other about something other than a man, although dubious"
The Second Best Exotic Marigold Hotel,2015,Pass,1,There are two or more women in this movie and they talk to each other about something other than a man
The Secret,2007,Pass,1,There are two or more women in this movie and they talk to each other about something other than a man
The Secret Garden,1993,Pass,1,There are two or more women in this movie and they talk to each other about something other than a man
The Secret Life of Bees,2008,Pass,1,There are two or more women in this movie and they talk to each other about something other than a man
The Secret Life of Pets,2016,Fail,3,"There are two or more women in this movie, but they only talk to each other about a man"
The Secret Life of Walter Mitty,2013,Pass,1,There are two or more women in this movie and they talk to each other about something other than a man
The Secret in Their Eyes,2009,Fail,4,"There are two or more women in this movie, but they don't talk to each other"
The Secret of Kells,2009,Fail,5,Fewer than two women in this movie
The Secret of Moonacre,2008,Pass,1,There are two or more women in this movie and they talk to each other about something other than a man
The Secret of My Succe$s,1987,Fail,4,"There are two or more women in this movie, but they don't talk to each other"
The Secret of NIMH,1982,Pass,2,"There are two or more women in this movie and they talk to each other about something other than a man, although dubious"
The Secret of NIMH 2: Timmy to the Rescue,1998,Fail,4,"There are two or more women in this movie, but they don't talk to each other"
The Secret of Roan Inish,1994,Pass,1,There are two or more women in this movie and they talk to each other about something other than a man
The Selfish Giant,2013,Fail,4,"There are two or more women in this movie, but they don't talk to each other"
The Sentinel,1977,Pass,1,There are two or more women in this movie and they talk to each other about something other than a man
The Servant,1963,Pass,2,"There are two or more women in this movie and they talk to each other about something other than a man, although dubious"
The Sessions,2012,Fail,3,"There are two or more women in this movie, but they only talk to each other about a man"
The Set-Up,1949,Fail,5,Fewer than two women in this movie
The Seven Year Itch,1955,Fail,4,"There are two or more women in this movie, but they don't talk to each other"
The Seventh Continent,1989,Pass,1,There are two or more women in this movie and they talk to each other about something other than a man
The Seventh Seal,1957,Fail,4,"There are two or more women in this movie, but they don't talk to each other"
The Seventh Veil,1945,Pass,1,There are two or more women in this movie and they talk to each other about something other than a man
The Seventh Victim,1943,Pass,1,There are two or more women in this movie and they talk to each other about something other than a man
The Shack,2017,Pass,2,"There are two or more women in this movie and they talk to each other about something other than a man, although dubious"
The Shadow,1994,Fail,5,Fewer than two women in this movie
The Shaggy Dog,2006,Fail,3,"There are two or more women in this movie, but they only talk to each other about a man"
The Shallows,2016,Pass,1,There are two or more women in this movie and they talk to each other about something other than a man
The Shanghai Gesture,1941,Pass,1,There are two or more women in this movie and they talk to each other about something other than a man
The Shape of Water,2017,Pass,1,There are two or more women in this movie and they talk to each other about something other than a man
The Shawshank Redemption,1994,Fail,5,Fewer than two women in this movie
The Sheltering Sky,1990,Fail,5,Fewer than two women in this movie
The Shining,1980,Fail,3,"There are two or more women in this movie, but they only talk to each other about a man"
The Shiny Shrimps,2019,Fail,5,Fewer than two women in this movie
The Shocking Miss Pilgrim,1947,Pass,1,There are two or more women in this movie and they talk to each other about something other than a man
The Shop Around the Corner,1940,Pass,2,"There are two or more women in this movie and they talk to each other about something other than a man, although dubious"
The Shout,1978,Fail,5,Fewer than two women in this movie
The Shrine,2010,Pass,1,There are two or more women in this movie and they talk to each other about something other than a man
The Shunning,2011,Pass,1,There are two or more women in this movie and they talk to each other about something other than a man
The Siege of Jadotville,2016,Fail,4,"There are two or more women in this movie, but they don't talk to each other"
The Signal,2007,Fail,3,"There are two or more women in this movie, but they only talk to each other about a man"
The Silence,1963,Pass,1,There are two or more women in this movie and they talk to each other about something other than a man
The Silence,2019,Pass,1,There are two or more women in this movie and they talk to each other about something other than a man
The Silence of the Lambs,1991,Pass,1,There are two or more women in this movie and they talk to each other about something other than a man
The Silent Command,1923,Fail,3,"There are two or more women in this movie, but they only talk to each other about a man"
The Simpsons Movie,2007,Pass,1,There are two or more women in this movie and they talk to each other about something other than a man
The Sin Seer,2015,Pass,1,There are two or more women in this movie and they talk to each other about something other than a man
The Single Moms Club,2014,Pass,1,There are two or more women in this movie and they talk to each other about something other than a man
The Sisterhood,1988,Pass,1,There are two or more women in this movie and they talk to each other about something other than a man
The Sisterhood of the Traveling Pants,2005,Pass,1,There are two or more women in this movie and they talk to each other about something other than a man
The Sisterhood of the Traveling Pants 2,2008,Pass,1,There are two or more women in this movie and they talk to each other about something other than a man
The Sisters,1938,Fail,3,"There are two or more women in this movie, but they only talk to each other about a man"
The Sisters Brothers,2018,Fail,4,"There are two or more women in this movie, but they don't talk to each other"
The Sisters Plotz,2013,Pass,1,There are two or more women in this movie and they talk to each other about something other than a man
The Sitter,2011,Pass,2,"There are two or more women in this movie and they talk to each other about something other than a man, although dubious"
The Sixth Sense,1999,Pass,2,"There are two or more women in this movie and they talk to each other about something other than a man, although dubious"
The Skeleton Key,2005,Pass,1,There are two or more women in this movie and they talk to each other about something other than a man
The Skeleton Twins,2014,Pass,1,There are two or more women in this movie and they talk to each other about something other than a man
The Skeptic,2009,Fail,4,"There are two or more women in this movie, but they don't talk to each other"
The Skin Game,1931,Pass,1,There are two or more women in this movie and they talk to each other about something other than a man
The Skin I Live In,2011,Pass,1,There are two or more women in this movie and they talk to each other about something other than a man
The Skinny,2012,Pass,1,There are two or more women in this movie and they talk to each other about something other than a man
The Sky Crawlers,2008,Pass,1,There are two or more women in this movie and they talk to each other about something other than a man
The Sky's the Limit,1943,Fail,4,"There are two or more women in this movie, but they don't talk to each other"
The Slammin' Salmon,2009,Pass,1,There are two or more women in this movie and they talk to each other about something other than a man
The Slumber Party Massacre,1982,Pass,1,There are two or more women in this movie and they talk to each other about something other than a man
The Smiling Lieutenant,1931,Fail,3,"There are two or more women in this movie, but they only talk to each other about a man"
The Smurfs,2011,Pass,1,There are two or more women in this movie and they talk to each other about something other than a man
The Smurfs 2,2013,Pass,1,There are two or more women in this movie and they talk to each other about something other than a man
The Snake Pit,1948,Pass,1,There are two or more women in this movie and they talk to each other about something other than a man
The Snows of Kilimanjaro,1952,Fail,4,"There are two or more women in this movie, but they don't talk to each other"
The Social Network,2010,Fail,4,"There are two or more women in this movie, but they don't talk to each other"
The Soloist,2009,Fail,4,"There are two or more women in this movie, but they don't talk to each other"
The Sorcerer and the White Snake,2011,Pass,1,There are two or more women in this movie and they talk to each other about something other than a man
The Sorcerer's Apprentice,2010,Fail,4,"There are two or more women in this movie, but they don't talk to each other"
The Sound of Music,1965,Pass,1,There are two or more women in this movie and they talk to each other about something other than a man
The Source,2011,Pass,1,There are two or more women in this movie and they talk to each other about something other than a man
The Souvenir,2019,Pass,1,There are two or more women in this movie and they talk to each other about something other than a man
The Space Between Us,2017,Pass,1,There are two or more women in this movie and they talk to each other about something other than a man
The Spanish Gardener,1956,Fail,3,"There are two or more women in this movie, but they only talk to each other about a man"
The Specialist,1994,Fail,4,"There are two or more women in this movie, but they don't talk to each other"
The Specials,2019,Fail,4,"There are two or more women in this movie, but they don't talk to each other"
The Spectacular Now,2013,Fail,3,"There are two or more women in this movie, but they only talk to each other about a man"
The Spiderwick Chronicles,2008,Fail,5,Fewer than two women in this movie
The Spirit,2008,Fail,3,"There are two or more women in this movie, but they only talk to each other about a man"
The Spirit of Jeet Kune Do,2004,Fail,4,"There are two or more women in this movie, but they don't talk to each other"
The Spirit of the Beehive,1973,Pass,1,There are two or more women in this movie and they talk to each other about something other than a man
The Spitfire Grill,1996,Pass,1,There are two or more women in this movie and they talk to each other about something other than a man
The SpongeBob Movie: Sponge Out of Water,2015,Fail,3,"There are two or more women in this movie, but they only talk to each other about a man"
The SpongeBob SquarePants Movie,2004,Pass,1,There are two or more women in this movie and they talk to each other about something other than a man
The Spy Next Door,2010,Pass,1,There are two or more women in this movie and they talk to each other about something other than a man
The Spy Who Dumped Me,2018,Pass,1,There are two or more women in this movie and they talk to each other about something other than a man
The Spy Who Loved Me,1977,Fail,4,"There are two or more women in this movie, but they don't talk to each other"
The Square,2017,Fail,4,"There are two or more women in this movie, but they don't talk to each other"
The Squid and the Whale,2005,Fail,3,"There are two or more women in this movie, but they only talk to each other about a man"
The Stand,1994,Pass,1,There are two or more women in this movie and they talk to each other about something other than a man
The Stanford Prison Experiment,2015,Fail,4,"There are two or more women in this movie, but they don't talk to each other"
The Star Wars Holiday Special,1978,Fail,4,"There are two or more women in this movie, but they don't talk to each other"
The Starving Games,2013,Pass,1,There are two or more women in this movie and they talk to each other about something other than a man
The State of Things,1982,Pass,1,There are two or more women in this movie and they talk to each other about something other than a man
The Station Agent,2003,Pass,1,There are two or more women in this movie and they talk to each other about something other than a man
The Stepford Wives,1975,Pass,1,There are two or more women in this movie and they talk to each other about something other than a man
The Stepford Wives,2004,Pass,1,There are two or more women in this movie and they talk to each other about something other than a man
The Steps,2015,Pass,1,There are two or more women in this movie and they talk to each other about something other than a man
The Sticky Fingers of Time,1997,Pass,1,There are two or more women in this movie and they talk to each other about something other than a man
The Sting,1973,Fail,4,"There are two or more women in this movie, but they don't talk to each other"
The Storm Riders,1998,Fail,4,"There are two or more women in this movie, but they don't talk to each other"
The Story of Alexander Graham Bell,1939,Fail,3,"There are two or more women in this movie, but they only talk to each other about a man"
The Story of O,1975,Pass,1,There are two or more women in this movie and they talk to each other about something other than a man
The Story of Robin Hood and His Merrie Men,1952,Pass,1,There are two or more women in this movie and they talk to each other about something other than a man
The Story of Ruth,1960,Pass,1,There are two or more women in this movie and they talk to each other about something other than a man
The Story of the Kelly Gang,1906,Fail,4,"There are two or more women in this movie, but they don't talk to each other"
The Straight Story,1999,Pass,2,"There are two or more women in this movie and they talk to each other about something other than a man, although dubious"
The Strange Thing About the Johnsons,2011,Pass,1,There are two or more women in this movie and they talk to each other about something other than a man
The Strange Woman,1946,Pass,1,There are two or more women in this movie and they talk to each other about something other than a man
The Stranger,1946,Pass,1,There are two or more women in this movie and they talk to each other about something other than a man
The Strangers,2008,Pass,2,"There are two or more women in this movie and they talk to each other about something other than a man, although dubious"
The Strangers: Prey At Night,2018,Pass,1,There are two or more women in this movie and they talk to each other about something other than a man
The Stunt Double,2020,Fail,4,"There are two or more women in this movie, but they don't talk to each other"
The Sugarland Express,1974,Fail,3,"There are two or more women in this movie, but they only talk to each other about a man"
The Suicide Squad,2021,Pass,1,There are two or more women in this movie and they talk to each other about something other than a man
The Sum of All Fears,2002,Fail,4,"There are two or more women in this movie, but they don't talk to each other"
The Summer of Sangaile,2015,Pass,1,There are two or more women in this movie and they talk to each other about something other than a man
The Sun,2005,Fail,5,Fewer than two women in this movie
The Sunset Limited,2011,Fail,5,Fewer than two women in this movie
The Sure Thing,1985,Pass,1,There are two or more women in this movie and they talk to each other about something other than a man
The Swan Princess,1994,Fail,4,"There are two or more women in this movie, but they don't talk to each other"
The Sweetest Thing,2002,Pass,1,There are two or more women in this movie and they talk to each other about something other than a man
The Swimming Pool,1969,Pass,1,There are two or more women in this movie and they talk to each other about something other than a man
The Swing,2012,Pass,1,There are two or more women in this movie and they talk to each other about something other than a man
The Switch,2010,Fail,3,"There are two or more women in this movie, but they only talk to each other about a man"
The Sword in the Stone,1963,Fail,5,Fewer than two women in this movie
The Taking of Deborah Logan,2014,Pass,1,There are two or more women in this movie and they talk to each other about something other than a man
The Taking of Pelham 123,2009,Fail,5,Fewer than two women in this movie
The Tale of Despereaux,2008,Pass,1,There are two or more women in this movie and they talk to each other about something other than a man
The Tale of The Princess Kaguya,2013,Pass,1,There are two or more women in this movie and they talk to each other about something other than a man
The Talented Mr. Ripley,1999,Pass,2,"There are two or more women in this movie and they talk to each other about something other than a man, although dubious"
The Tall Man,2012,Pass,1,There are two or more women in this movie and they talk to each other about something other than a man
The Tempest,2010,Pass,1,There are two or more women in this movie and they talk to each other about something other than a man
The Tempest,2014,Pass,2,"There are two or more women in this movie and they talk to each other about something other than a man, although dubious"
The Temptation of St. Anthony,1898,Fail,5,Fewer than two women in this movie
The Temptress,1926,Fail,4,"There are two or more women in this movie, but they don't talk to each other"
The Ten Commandments,1956,Fail,3,"There are two or more women in this movie, but they only talk to each other about a man"
The Tenant,1976,Fail,4,"There are two or more women in this movie, but they don't talk to each other"
The Tender Bar,2021,Fail,4,"There are two or more women in this movie, but they don't talk to each other"
The Terminal,2004,Fail,4,"There are two or more women in this movie, but they don't talk to each other"
The Terminator,1984,Pass,1,There are two or more women in this movie and they talk to each other about something other than a man
The Texas Chain Saw Massacre,1974,Fail,4,"There are two or more women in this movie, but they don't talk to each other"
The Texas Chainsaw Massacre Part 2,1986,Fail,5,Fewer than two women in this movie
The Theory of Everything,2014,Pass,2,"There are two or more women in this movie and they talk to each other about something other than a man, although dubious"
The Thief of Bagdad,1924,Fail,5,Fewer than two women in this movie
The Thief of Bagdad,1940,Fail,5,Fewer than two women in this movie
The Thin Red Line,1998,Fail,4,"There are two or more women in this movie, but they don't talk to each other"
The Thing,1982,Fail,5,Fewer than two women in this movie
The Thing,2011,Pass,1,There are two or more women in this movie and they talk to each other about something other than a man
The Thing from Another World,1951,Fail,4,"There are two or more women in this movie, but they don't talk to each other"
The Things of Life,1970,Fail,4,"There are two or more women in this movie, but they don't talk to each other"
The Third Man,1949,Fail,5,Fewer than two women in this movie
The Third Society,2004,Fail,4,"There are two or more women in this movie, but they don't talk to each other"
The Thirteenth Year,1999,Fail,3,"There are two or more women in this movie, but they only talk to each other about a man"
The Thomas Crown Affair,1999,Fail,4,"There are two or more women in this movie, but they don't talk to each other"
The Three Burials of Melquiades Estrada,2005,Pass,1,There are two or more women in this movie and they talk to each other about something other than a man
The Three Caballeros,1944,Fail,5,Fewer than two women in this movie
The Three Disappearances of Soad Hosni,2011,Pass,1,There are two or more women in this movie and they talk to each other about something other than a man
The Three Es,2015,Pass,1,There are two or more women in this movie and they talk to each other about something other than a man
The Three Musketeers,1973,Fail,3,"There are two or more women in this movie, but they only talk to each other about a man"
The Three Musketeers,2011,Fail,3,"There are two or more women in this movie, but they only talk to each other about a man"
The Ticket,2016,Fail,4,"There are two or more women in this movie, but they don't talk to each other"
The Tigger Movie,2000,Fail,5,Fewer than two women in this movie
The Time Machine,1960,Fail,5,Fewer than two women in this movie
